app,app_id,username,rating,text,text_original,thumbs_up,date,reply,lang,word_count
Gojek,com.gojek.app,Pengguna Google,5,saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek indonesia,saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek Indonesia,0,2026-05-30 16:59:41,,id,13
Gojek,com.gojek.app,Pengguna Google,1,"ga pemilik aplikasi nya ,ga pengiklan nya ,ga penjual di aplikasi nya problematik semua","ga pemilik aplikasi nya ,ga pengiklan nya ,ga penjual di aplikasi nya problematik semua",1,2026-05-30 16:41:25,,id,14
Gojek,com.gojek.app,Pengguna Google,5,"katanya potongan cuma 8%,ke driver. gw dapet order 20rb di potong 6.500. ini mah udah 30% lebih. kalau 10% ajah 200 potongan","katanya potongan cuma 8%,ke driver. gw dapet order 20rb di potong 6.500. ini mah udah 30% lebih. kalau 10% ajah 2000 potongan😆",1,2026-05-30 16:39:05,,id,22
Gojek,com.gojek.app,Pengguna Google,5,aplikasi bagus bangga buatan indonesia,aplikasi bagus bangga buatan Indonesia,0,2026-05-30 15:36:01,,id,5
Gojek,com.gojek.app,Pengguna Google,5,saya pernah membayar 2 kali dan dikembalikan makasih bgt gojek amanah,saya pernah membayar 2 kali dan dikembalikan🥳 makasih bgt gojek amanah,0,2026-05-30 15:22:14,,id,11
Gojek,com.gojek.app,Pengguna Google,5,"gojek emang nyaman kemana "" aman","gojek emang nyaman kemana "" aman",0,2026-05-30 15:16:47,,id,6
Gojek,com.gojek.app,Pengguna Google,4,gps melenceng saat menentukan mau dikirim barang gps ya melenceng..,GPS melenceng saat menentukan mau dikirim barang GPS ya melenceng..,0,2026-05-30 14:56:50,,id,10
Gojek,com.gojek.app,Pengguna Google,1,udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,0,2026-05-30 14:41:15,"Hai Kak Bara, mohon maaf atas ketidaknyamanannya. Laporan yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas pelayanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu atau email ke customerservice@gojek.com. Terima kasih. ^Mita",id,13
Gojek,com.gojek.app,Pengguna Google,1,"sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo","sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo",0,2026-05-30 14:32:46,"Mohon maaf atas ketidaknyamanannya Kak @Initial - D. Fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Biaya Pemesanan dan Biaya Jasa GoFood digunakan untuk meningkatkan layanan kepada pengguna aplikasi, termasuk pengembangan layanan melalui inovasi dan teknologi. ^Mita",id,20
Gojek,com.gojek.app,Pengguna Google,1,"mohon diberikan pembinaan atau sejenisnya kepada (oknum driver mobil) yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat. kasian kami pesen hampir menunggu 50 menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak 1,5 km dari titik jemput. jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya. maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu. terimakasih","Mohon diberikan pembinaan atau sejenisnya kepada (oknum driver mobil) yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat. Kasian kami pesen hampir menunggu 50 menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak 1,5 km dari titik jemput. Jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya. Maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu🙏🏻. terimakasih",0,2026-05-30 14:31:08,"Hai Kak @Mancing mania, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas pelayanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver sulit untuk dihubungi"" pada kolom pencarian ya. ^Mita",id,71
Gojek,com.gojek.app,Pengguna Google,1,"susah dapat driver. padahal lagi dibutuhin banget. apa harus bayar 5x lipat dulu baru di ""prioritaskan"" ?","Susah dapat driver. Padahal lagi dibutuhin banget. Apa harus bayar 5x lipat dulu baru di ""prioritaskan"" ?",0,2026-05-30 13:56:43,"Mohon maaf atas kendalanya Kak Rayhan. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pengantaran di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba Kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maysa",id,17
Gojek,com.gojek.app,Pengguna Google,1,sumpah parah gopay udah foto ktp tapi ditolak apaa. ini susah jangan bikin gopay dah kawan hindari smua kawan kawan gopay parah udah di update tapi di tolak mintak sialan sialan,sumpah parah gopay udah foto KTP tapi ditolak apaaa. ini susah jangan bikin gopay dah kawan hindari smua kawan kawan gopay parah udah di update tapi di tolak mintak sialan sialan,0,2026-05-30 12:33:19,"Hai Kak Farhan, mohon maaf atas kendala yang dialami. Sebelum kamu mencoba upgrade ke GoPay Plus, pastikan dokumen serta foto selfie yang kamu kirim sudah sesuai dengan ketentuan GoPay. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi GoPay kamu. ^Maysa",id,31
Gojek,com.gojek.app,Pengguna Google,1,"sekarang bukan aplikasi transportasi, tapi lebih ke pinjol bikin orang melarat","sekarang bukan aplikasi transportasi, tapi lebih ke pinjol bikin orang melarat",0,2026-05-30 12:16:58,"Hai Kak Fauzi, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maysa",id,11
Gojek,com.gojek.app,Pengguna Google,3,pajak 25% sangat lah besar kasian para driver yg pke motor sndiri biaya service sndiri,pajak 25% sangat lah besar kasian para driver yg pke motor sndiri biaya service sndiri,0,2026-05-30 11:41:25,,id,15
Gojek,com.gojek.app,Pengguna Google,1,"makanan tidak saya terima , tp katanya sudah di antar. complain ke cs tidak ada hasil","Makanan tidak saya terima , tp katanya sudah di antar. complain ke cs tidak ada hasil",3,2026-05-30 11:41:22,"Hai Kak Okta, mohon maaf atas ketidaknyamanannya. Jika kamu tidak menerima pesananmu, laporkan melalui halaman Bantuan (pada menu Profil Saya) di aplikasi Gojek > ketik ""Driver menyelesaikan pesanan tanpa mengantarnya"" pada kolom pencarian. Semoga informasi ini membantu ya. ^Maysa",id,16
Gojek,com.gojek.app,Pengguna Google,1,stop bikin kebijakan yang bentrokin costumer sama driver,Stop bikin kebijakan yang bentrokin costumer sama driver,0,2026-05-30 11:39:15,"Hai Kak Rendi, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maysa",id,8
Gojek,com.gojek.app,Pengguna Google,5,sudah lama pakai aplikasi ini secara umum tak mengecewakan.,sudah lama pakai aplikasi ini secara umum tak mengecewakan.,0,2026-05-30 11:17:06,,id,9
Gojek,com.gojek.app,Pengguna Google,5,sukaakk! jujur apk ini membantu bgtt,SUKAAKKKKK! jujur apk ini membantu bgtt,0,2026-05-30 11:12:28,,id,6
Gojek,com.gojek.app,Pengguna Google,5,"enak , cepat , bapaknya ramah dan sopan","enak , cepat , bapaknya ramah dan sopan",0,2026-05-30 10:58:21,,id,8
Gojek,com.gojek.app,Pengguna Google,5,"memudahkan ,hemat waktu , praktis dan memang cepat ( tergantung situasi jalanan)","memudahkan ,hemat waktu , praktis dan memang cepat ( tergantung situasi jalanan)",0,2026-05-30 10:44:48,,id,12
Gojek,com.gojek.app,Pengguna Google,5,sanggatt membantu dan mudah digunakan,sangggattt membantu dan mudah digunakan,0,2026-05-30 10:37:47,,id,5
Gojek,com.gojek.app,Pengguna Google,5,alhamdulillah baik puas dg pelayanannya,Alhamdulillah Baik puas dg pelayanannya,0,2026-05-30 10:31:56,,id,5
Gojek,com.gojek.app,Pengguna Google,3,daftar hemat goride malah jadi susah dapat yang jauh2. bikin sistem ya merugikan . leuheung mun nu deukeut gacor mh. ieu mh angger weh ngahuleung heula. nya jauh ngajeumpuna ge. tekor bensin ngajemput 2km kaluhur wae. ongkos ngan 8rb terus isukan teh saldo di potong 13rb. ya alloh meni kieu kieu teuing gojek ka driver.,daftar hemat goride malah jadi susah dapat yang jauh2. bikin sistem ya merugikan . leuheung mun nu deukeut gacor mh. ieu mh angger weh ngahuleung heula. nya jauh ngajeumpuna ge. tekor bensin ngajemput 2km kaluhur wae. ongkos ngan 8rb terus isukan teh saldo di potong 13rb. ya alloh meni kieu kieu teuing gojek ka driver.,2,2026-05-30 09:54:06,"Hai Kak Dewi, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Melodi",id,55
Gojek,com.gojek.app,Pengguna Google,5,top bgt deh.. teng qyu ya abang qu.,TOP BGT Deh... Teng Qyu ya Abang QU. 👍🙏,0,2026-05-30 09:31:31,,id,8
Gojek,com.gojek.app,Pengguna Google,5,"driver nya selalu ramah tamah.. namun untuk melakukan booking go,rednya selalu lama dpt driver nya","driver nya selalu ramah tamah.. namun untuk Melakukan booking go,rednya selalu lama DPT driver nya",0,2026-05-30 07:16:31,,id,15
Gojek,com.gojek.app,Pengguna Google,5,mohon di tingkatkan pelayanan yg lbh baik lagi,mohon di tingkatkan pelayanan yg lbh baik lagi,0,2026-05-30 06:21:36,,id,8
Gojek,com.gojek.app,Pengguna Google,4,"saya kasih bintang 4 karena, kemarin waktu hari kamis jam 9an awalnya saya mau mesen gocar lalu karena saya tau kalau di daerah saya ini susah sekali dapat driver jadinya saya cancel di saat aplikasi itu sedang mencari driver, saya tinggalkan hingga jam 1an, tiba tiba dateng gocar atas nama saya, posisinya saya sudah tidak di tempat akhirnya teman saya yang mengurus masalah tersebut, dan katanya driver tersebut ""agak"" kesal dan marah, daripada saya memperpanjang urusan saya mau bayardrivenyaperg","saya kasih bintang 4 karena, kemarin waktu hari Kamis jam 9an awalnya saya mau mesen gocar lalu karena saya tau kalau di daerah saya ini susah sekali dapat driver jadinya saya cancel di saat aplikasi itu sedang mencari driver, saya tinggalkan hingga jam 1an, tiba tiba dateng gocar atas nama saya, posisinya saya sudah tidak di tempat akhirnya teman saya yang mengurus masalah tersebut, dan katanya driver tersebut ""agak"" kesal dan marah, daripada saya memperpanjang urusan saya mau bayardrivenyaperg",0,2026-05-30 05:23:45,,id,79
Gojek,com.gojek.app,Pengguna Google,5,"drivernya ramah ,baik dan sopan terima kasih","drivernya ramah ,baik dan sopan terima kasih",0,2026-05-30 05:12:32,,id,7
Gojek,com.gojek.app,Pengguna Google,1,resto sudah tutup tapi orderan belum di cancel juga,resto sudah tutup tapi orderan belum di cancel juga,0,2026-05-29 23:38:08,"Hai Kak Angga, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maysa",id,9
Gojek,com.gojek.app,Pengguna Google,5,apk paling membantu dalam setiap waktu,apk paling membantu dalam setiap waktu,0,2026-05-29 22:01:28,,id,6
Gojek,com.gojek.app,Pengguna Google,5,"sangat membantu, tapi kadang' sering nge bug apk nya","sangat membantu, tapi kadang' sering nge bug apk nya",0,2026-05-29 21:17:07,,id,9
Gojek,com.gojek.app,Pengguna Google,2,"suka banget error diwaktu mendesak, gajelas bngt","suka banget error diwaktu mendesak, gajelas bngt 👎👎👎",1,2026-05-29 21:14:04,"Hai Kak Reex, mohon maaf atas ketidaknyamanannya. Pastikan kamu sudah menggunakan aplikasi Gojek versi terbaru, ya. Jika masih berkendala, silakan laporkan melalui halaman Bantuan > ketik ""Kendala tampilan dan notifikasi"" di kolom pencarian > pilih artikel dan lengkapi formulirnya. Kami siap membantu. ^Mita",id,7
Gojek,com.gojek.app,Pengguna Google,1,"ini parah banget sih, pesanan udah 3 jam gak sampai-sampai katanya terlambat 5-15 menit tapi ditunggu berjam jam gak ada. coba ajuin complain yang jawab malah ai, ckckck. kapok beli makanan disini. gak lagi deh","ini parah banget sih, pesanan udah 3 jam gak sampai-sampai katanya terlambat 5-15 menit tapi ditunggu berjam jam gak ada. coba ajuin complain yang jawab malah AI, ckckck. kapok beli makanan disini. gak lagi deh",1,2026-05-29 21:09:40,"Hai Kak Annisa, mohon maaf keterlambatan pengiriman pesanan mu. Agar dapat dibantu lebih lanjut, silakan laporkan melalui menu Bantuan (pada menu Profil Saya) di aplikasi Gojek dengan mengetik ""Saya menunggu pengiriman terlalu lama"" pada kolom pencarian. Semoga informasi ini membantu kamu. ^Mita",id,35
Gojek,com.gojek.app,Pengguna Google,1,aplikasi tolol. ga ada pilihan buat lewat tol. jalur selalu di ambil yg terdekat. selisis jarak sampe 20km bikin driver rugi. ga kaya grap ada pilihan bisa lewat tol atau engganya,aplikasi tolol. ga ada pilihan buat lewat tol. jalur selalu di ambil yg terdekat. selisis jarak sampe 20km bikin driver rugi. ga kaya grap ada pilihan bisa lewat tol atau engganya,1,2026-05-29 20:20:49,"Hai Kak Ogan, mohon maaf untuk ketidaknyamanannya. Laporan yang Anda sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika Kakak memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek Driver App kamu. ^Mita",id,31
