app,app_id,username,rating,text,thumbs_up,date,reply
Gojek,com.gojek.app,Pengguna Google,4,bagus banget,0,2026-05-30 17:01:26,
Gojek,com.gojek.app,Pengguna Google,5,saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek Indonesia,0,2026-05-30 16:59:41,
Gojek,com.gojek.app,Pengguna Google,1,"ga pemilik aplikasi nya ,ga pengiklan nya ,ga penjual di aplikasi nya problematik semua",1,2026-05-30 16:41:25,
Gojek,com.gojek.app,Pengguna Google,5,"katanya potongan cuma 8%,ke driver. gw dapet order 20rb di potong 6.500. ini mah udah 30% lebih. kalau 10% ajah 2000 potongan😆",1,2026-05-30 16:39:05,
Gojek,com.gojek.app,Pengguna Google,5,"oke, sangat membantu",0,2026-05-30 16:34:18,
Gojek,com.gojek.app,Pengguna Google,5,paling murah,0,2026-05-30 16:18:54,
Gojek,com.gojek.app,Pengguna Google,5,sangat membantu,0,2026-05-30 15:49:54,
Gojek,com.gojek.app,Pengguna Google,5,aplikasi bagus bangga buatan Indonesia,0,2026-05-30 15:36:01,
Gojek,com.gojek.app,Pengguna Google,5,saya pernah membayar 2 kali dan dikembalikan🥳 makasih bgt gojek amanah,0,2026-05-30 15:22:14,
Gojek,com.gojek.app,Pengguna Google,5,sangat puas naik gojek,0,2026-05-30 15:18:35,
Gojek,com.gojek.app,Pengguna Google,5,"gojek emang nyaman kemana "" aman",0,2026-05-30 15:16:47,
Gojek,com.gojek.app,Pengguna Google,5,bermanfaat bgtt,0,2026-05-30 15:02:21,
Gojek,com.gojek.app,Pengguna Google,4,GPS melenceng saat menentukan mau dikirim barang GPS ya melenceng..,0,2026-05-30 14:56:50,
Gojek,com.gojek.app,Pengguna Google,5,sangat membantu,0,2026-05-30 14:54:44,
Gojek,com.gojek.app,Pengguna Google,5,memudahkan dan banyak promo,0,2026-05-30 14:52:24,
Gojek,com.gojek.app,Pengguna Google,5,baguss,0,2026-05-30 14:49:53,
Gojek,com.gojek.app,Pengguna Google,1,udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,0,2026-05-30 14:41:15,"Hai Kak Bara, mohon maaf atas ketidaknyamanannya. Laporan yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas pelayanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu atau email ke customerservice@gojek.com. Terima kasih. ^Mita"
Gojek,com.gojek.app,Pengguna Google,1,"sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo",0,2026-05-30 14:32:46,"Mohon maaf atas ketidaknyamanannya Kak @Initial - D. Fokus GoFood secara keseluruhan adalah untuk terus memberikan pengalaman kuliner terbaik bagi pelanggan. Biaya Pemesanan dan Biaya Jasa GoFood digunakan untuk meningkatkan layanan kepada pengguna aplikasi, termasuk pengembangan layanan melalui inovasi dan teknologi. ^Mita"
